date,document_number,document,sku,product_name,unit,warehouse,quantity,source_row,date_raw,quantity_raw,demand,movement_type
2023-01-18 16:00:11,20000004016,Расходная накладная 20000004016 от 18.01.2023,300200445_,"А409 Рамка 5-ная ""ATLAS"" алюминий ATN305 (5)",шт,Алматы,-10.0,2,18.01.2023 16:00:11,-10,10.0,outgoing
2023-06-09 17:29:41,20000052612,Расходная накладная 20000052612 от 09.06.2023,300200299_,"S396 Роз. 2-ная с/у 16А с з/к з/ш со сдвиж.крыш.""ATLAS"" белый ATN128 (6)",шт,Алматы,-2.0,3,09.06.2023 17:29:41,-2,2.0,outgoing
2023-11-17 14:51:23,20000117295,Расходная накладная 20000117295 от 17.11.2023,300200290_,"S392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" белый ATN163 (20)",шт,Алматы,-10.0,4,17.11.2023 14:51:23,-10,10.0,outgoing
2023-11-17 15:02:40,20000117283,Расходная накладная 20000117283 от 17.11.2023,300200448_,"А393 Перекрест. переключ. 1 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN371 (5)",шт,Алматы,-2.0,5,17.11.2023 15:02:40,-2,2.0,outgoing
2023-12-26 17:04:12,20000132885,Расходная накладная 20000132885 от 26.12.2023,020100162_,"K077 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"", КАРБОН -  ATN1071 (2)",шт,Алматы,-5.0,6,26.12.2023 17:04:12,-5,5.0,outgoing
2023-12-26 17:04:12,20000132885,Расходная накладная 20000132885 от 26.12.2023,300200445_,"А409 Рамка 5-ная ""ATLAS"" алюминий ATN305 (5)",шт,Алматы,-30.0,7,26.12.2023 17:04:12,-30,30.0,outgoing
2024-02-16 13:20:41,20000016557,Расходная накладная 20000016557 от 16.02.2024,300200307_,"S409 Рамка 5-ная ""ATLAS"" белый (5) ATN105",шт,Алматы,-20.0,8,16.02.2024 13:20:41,-20,20.0,outgoing
2024-03-01 14:58:15,20000020776,Расходная накладная 20000020776 от 01.03.2024,300200283_,"S385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" белый ATN113 (20)",шт,Алматы,-10.0,9,01.03.2024 14:58:15,-10,10.0,outgoing
2024-05-03 12:33:58,20000044772,Расходная накладная 20000044772 от 03.05.2024,300200446_,"А414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN365 (10)",шт,Алматы,-5.0,10,03.05.2024 12:33:58,-5,5.0,outgoing
2024-08-23 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200784_,"G001 Роз. с з/к 16А механизм ""ARTGALLERY"" алюминий GAL0343 (10)",шт,Алматы,-20.0,11,23.08.2024 17:08:27,-20,20.0,outgoing
